股票名称,股票代码,当前最新价格(HKD),当前最新价格对应时间戳,数据来源
新鸿基地产,00016.HK,135.6,2026-04-20 16:08:33 (北京时间),Longport API
恒基地产,00012.HK,30.18,2026-04-20 16:08:33 (北京时间),Longport API
新世界发展,00017.HK,8.55,2026-04-20 16:08:33 (北京时间),Longport API
长实集团,01113.HK,47.66,2026-04-20 16:08:33 (北京时间),Longport API
香港交易所,00388.HK,411.6,2026-04-20 16:08:33 (北京时间),Longport API
友邦保险,01299.HK,83.5,2026-04-20 16:08:33 (北京时间),Longport API
中国人寿,02628.HK,27.62,2026-04-20 16:08:33 (北京时间),Longport API
中国平安,02318.HK,61.5,2026-04-20 16:08:33 (北京时间),Longport API
中国移动,00941.HK,81.8,2026-04-20 16:08:33 (北京时间),Longport API
中国联通,00762.HK,7.36,2026-04-20 16:08:33 (北京时间),Longport API
中国电信,00728.HK,4.95,2026-04-20 16:08:33 (北京时间),Longport API
网易,09999.HK,183.8,2026-04-20 16:08:33 (北京时间),Longport API
百度集团,09888.HK,122.8,2026-04-20 16:08:33 (北京时间),Longport API
哔哩哔哩,09626.HK,195.4,2026-04-20 16:08:33 (北京时间),Longport API
蔚来,09866.HK,53.25,2026-04-20 16:08:33 (北京时间),Longport API
理想汽车,02015.HK,73.3,2026-04-20 16:08:33 (北京时间),Longport API
小鹏汽车,09868.HK,69.4,2026-04-20 16:08:33 (北京时间),Longport API
海尔智家,06690.HK,21.14,2026-04-20 16:08:33 (北京时间),Longport API
李宁,02331.HK,21.34,2026-04-20 16:08:33 (北京时间),Longport API
安踏体育,02020.HK,85.65,2026-04-20 16:08:33 (北京时间),Longport API
