标的名称,代码,收盘价/点数,收盘日期
恒生指数,HSI,26160.33,2026-04-17
国企指数,HSCEI,8845.02,2026-04-17
纳斯达克100指数,.NDX,26672.43,2026-04-17
标普500指数,.SPX,7126.06,2026-04-17
道琼斯指数,.DJI,49447.43,2026-04-17
腾讯控股,00700.HK,510.50,2026-04-17
阿里巴巴,09988.HK,136.40,2026-04-17
小米,01810.HK,32.00,2026-04-17
快手,01024.HK,46.46,2026-04-17
京东,09618.HK,122.60,2026-04-17
美团,03690.HK,86.50,2026-04-17
紫金矿业,02899.HK,36.62,2026-04-17
中芯国际,00981.HK,59.35,2026-04-17
华虹半导体,01347.HK,90.50,2026-04-17
泡泡玛特,09992.HK,159.10,2026-04-17
中国神华,01088.HK,45.98,2026-04-17
宁德时代,03750.HK,692.00,2026-04-17
赣锋锂业,01772.HK,81.85,2026-04-17
昆仑能源,00135.HK,7.48,2026-04-17
中国石油化工股份,00386.HK,4.56,2026-04-17
国泰君安国际,01788.HK,2.66,2026-04-17
中国宏桥,01378.HK,37.90,2026-04-17
招商银行,03968.HK,50.55,2026-04-17
建设银行,00939.HK,8.68,2026-04-17
中国银行,03988.HK,5.11,2026-04-17
汇丰控股,00005.HK,141.50,2026-04-17
信达生物,01801.HK,91.50,2026-04-17
药明生物,02269.HK,35.72,2026-04-17
中国海洋石油,00883.HK,26.98,2026-04-17
中国石油股份,00857.HK,10.69,2026-04-17
工商银行,01398.HK,7.03,2026-04-17
比亚迪股份,01211.HK,111.40,2026-04-17

=== 获取失败的标的 ===
标的名称,代码,失败原因
恒生科技指数,HSTECH,'NoneType' object is not subscriptable
