股票名称,股票代码,当前最新价格(HKD),当前最新价格对应时间戳,数据来源
腾讯控股,00700.HK,519.0,2026-04-21 16:08:19 (北京时间),Longport API
阿里巴巴,09988.HK,136.3,2026-04-21 16:08:19 (北京时间),Longport API
小米,01810.HK,32.4,2026-04-21 16:08:19 (北京时间),Longport API
快手,01024.HK,46.38,2026-04-21 16:08:19 (北京时间),Longport API
京东,09618.HK,123.0,2026-04-21 16:08:19 (北京时间),Longport API
美团,03690.HK,86.45,2026-04-21 16:08:19 (北京时间),Longport API
紫金矿业,02899.HK,38.2,2026-04-21 16:08:19 (北京时间),Longport API
中芯国际,00981.HK,60.1,2026-04-21 16:08:19 (北京时间),Longport API
华虹半导体,01347.HK,95.4,2026-04-21 16:08:19 (北京时间),Longport API
泡泡玛特,09992.HK,164.4,2026-04-21 16:08:19 (北京时间),Longport API
中国神华,01088.HK,46.58,2026-04-21 16:08:19 (北京时间),Longport API
宁德时代,03750.HK,736.0,2026-04-21 16:08:19 (北京时间),Longport API
赣锋锂业,01772.HK,80.4,2026-04-21 16:08:19 (北京时间),Longport API
昆仑能源,00135.HK,7.74,2026-04-21 16:08:19 (北京时间),Longport API
中国石油化工股份,00386.HK,4.6,2026-04-21 16:08:19 (北京时间),Longport API
国泰君安国际,01788.HK,2.65,2026-04-21 16:08:19 (北京时间),Longport API
中国宏桥,01378.HK,37.12,2026-04-21 16:08:19 (北京时间),Longport API
招商银行,03968.HK,51.35,2026-04-21 16:08:19 (北京时间),Longport API
建设银行,00939.HK,8.96,2026-04-21 16:08:19 (北京时间),Longport API
中国银行,03988.HK,5.25,2026-04-21 16:08:19 (北京时间),Longport API
汇丰控股,00005.HK,143.7,2026-04-21 16:08:19 (北京时间),Longport API
信达生物,01801.HK,89.85,2026-04-21 16:08:19 (北京时间),Longport API
药明生物,02269.HK,35.3,2026-04-21 16:08:19 (北京时间),Longport API
中国海洋石油,00883.HK,26.6,2026-04-21 16:08:19 (北京时间),Longport API
中国石油股份,00857.HK,10.44,2026-04-21 16:08:19 (北京时间),Longport API
工商银行,01398.HK,7.26,2026-04-21 16:08:19 (北京时间),Longport API
比亚迪股份,01211.HK,109.1,2026-04-21 16:08:19 (北京时间),Longport API
